00007ff843ac2718 (__DATA,__data) non-external _C
00007ff843ac3a30 (__DATA,__bss) non-external _CF6464
00007ff801deb780 (__TEXT,__const) non-external _CIFP
00007ff843ac478c (__DATA,__bss) non-external _EMSG
00007ff843ac478d (__DATA,__bss) non-external _EMSG
00007ff801deb750 (__TEXT,__const) non-external _ExpandTr
00007ff843ac3a20 (__DATA,__bss) non-external _IE3264
00007ff801deb710 (__TEXT,__const) non-external _IP
00007ff843ac3990 (__DATA,__bss) non-external _KS
00007ff8438c0db0 (__DATA_DIRTY,__bss) non-external _NXArgc_pointer
00007ff8438c0da8 (__DATA_DIRTY,__bss) non-external _NXArgv_pointer
                 (undefined) external _OSAtomicDequeue (from libsystem_platform)
                 (undefined) external _OSAtomicEnqueue (from libsystem_platform)
00007ff801deb7c0 (__TEXT,__const) non-external _P32Tr
00007ff801deb6d0 (__TEXT,__const) non-external _PC1
00007ff843ac3988 (__DATA,__bss) non-external _PC1ROT
00007ff801deb690 (__TEXT,__const) non-external _PC2
00007ff843ac3a10 (__DATA,__bss) non-external _PC2ROT
00007ff801deb680 (__TEXT,__const) non-external _Rotates
00007ff801deb7e0 (__TEXT,__const) non-external _S
00007ff843ac3a28 (__DATA,__bss) non-external _SPE
00007ff801dc0497 (__TEXT,__text) non-external (was a private external) __BIG5_init
00007ff801dc04ce (__TEXT,__text) non-external __BIG5_mbrtowc
00007ff801dc05cc (__TEXT,__text) non-external __BIG5_mbsinit
00007ff801dc058f (__TEXT,__text) non-external __BIG5_wcrtomb
                 (undefined) external __Block_copy (from libsystem_blocks)
                 (undefined) external __Block_release (from libsystem_blocks)
00007ff843ac2908 (__DATA,__data) non-external __C_lconv
00007ff840083130 (__DATA_CONST,__const) non-external __C_messages_locale
00007ff840083150 (__DATA_CONST,__const) non-external __C_monetary_locale
00007ff8400831f8 (__DATA_CONST,__const) non-external __C_numeric_locale
00007ff840083400 (__DATA_CONST,__const) non-external __C_time_locale
00007ff843ac2a60 (__DATA,__data) external __CurrentRuneLocale
00007ff843ac2c48 (__DATA,__constrw) external __DefaultRuneLocale
00007ff843ac38d0 (__DATA,__constrw) non-external (was a private external) __DefaultRuneXLocale
00007ff801dc2262 (__TEXT,__text) non-external (was a private external) __EUC_CN_init
00007ff801dc22c8 (__TEXT,__text) non-external __EUC_CN_mbrtowc
00007ff801dc230e (__TEXT,__text) non-external __EUC_CN_mbsnrtowcs
00007ff801dc22ec (__TEXT,__text) non-external __EUC_CN_wcrtomb
00007ff801dc2318 (__TEXT,__text) non-external __EUC_CN_wcsnrtombs
00007ff801dc23fd (__TEXT,__text) non-external (was a private external) __EUC_JP_init
00007ff801dc2463 (__TEXT,__text) non-external __EUC_JP_mbrtowc
00007ff801dc24b8 (__TEXT,__text) non-external __EUC_JP_mbsnrtowcs
00007ff801dc248d (__TEXT,__text) non-external __EUC_JP_wcrtomb
00007ff801dc24c2 (__TEXT,__text) non-external __EUC_JP_wcsnrtombs
00007ff801dc233d (__TEXT,__text) non-external (was a private external) __EUC_KR_init
00007ff801dc23a3 (__TEXT,__text) non-external __EUC_KR_mbrtowc
00007ff801dc23e9 (__TEXT,__text) non-external __EUC_KR_mbsnrtowcs
00007ff801dc23c7 (__TEXT,__text) non-external __EUC_KR_wcrtomb
00007ff801dc23f3 (__TEXT,__text) non-external __EUC_KR_wcsnrtombs
00007ff801dc2532 (__TEXT,__text) non-external (was a private external) __EUC_TW_init
00007ff801dc2598 (__TEXT,__text) non-external __EUC_TW_mbrtowc
00007ff801dc25ea (__TEXT,__text) non-external __EUC_TW_mbsnrtowcs
