00007ff802754886 (__TEXT,__text) external _NSAddImage
00007ff802754850 (__TEXT,__text) external _NSAddLibrary
00007ff80275486b (__TEXT,__text) external _NSAddLibraryWithSearching
00007ff8027545bd (__TEXT,__text) external _NSAddressOfSymbol
00007ff80275463f (__TEXT,__text) external _NSCreateObjectFileImageFromFile
00007ff80275453a (__TEXT,__text) external _NSCreateObjectFileImageFromMemory
00007ff80275465d (__TEXT,__text) external _NSDestroyObjectFileImage
00007ff80275457b (__TEXT,__text) external _NSGetSectionDataInObjectFileImage
00007ff80275483c (__TEXT,__text) external _NSInstallLinkEditErrorHandlers
00007ff8027546c8 (__TEXT,__text) external _NSIsSymbolDefinedInObjectFileImage
00007ff802754739 (__TEXT,__text) external _NSIsSymbolNameDefined
00007ff802754772 (__TEXT,__text) external _NSIsSymbolNameDefinedInImage
00007ff802754754 (__TEXT,__text) external _NSIsSymbolNameDefinedWithHint
00007ff802754701 (__TEXT,__text) external _NSLibraryNameForModule
00007ff802754818 (__TEXT,__text) external _NSLinkEditError
00007ff80275455b (__TEXT,__text) external _NSLinkModule
00007ff802754790 (__TEXT,__text) external _NSLookupAndBindSymbol
00007ff8027547ab (__TEXT,__text) external _NSLookupAndBindSymbolWithHint
00007ff8027547c9 (__TEXT,__text) external _NSLookupSymbolInImage
00007ff80275459f (__TEXT,__text) external _NSLookupSymbolInModule
00007ff8027547fd (__TEXT,__text) external _NSModuleForSymbol
00007ff8027546e6 (__TEXT,__text) external _NSNameOfModule
00007ff8027547e9 (__TEXT,__text) external _NSNameOfSymbol
00007ff802754678 (__TEXT,__text) external _NSSymbolDefinitionCountInObjectFileImage
00007ff80275468c (__TEXT,__text) external _NSSymbolDefinitionNameInObjectFileImage
00007ff8027546a0 (__TEXT,__text) external _NSSymbolReferenceCountInObjectFileImage
00007ff8027546b4 (__TEXT,__text) external _NSSymbolReferenceNameInObjectFileImage
00007ff80275471c (__TEXT,__text) external _NSUnLinkModule
00007ff802753f94 (__TEXT,__text) external _NSVersionOfLinkTimeLibrary
00007ff802754016 (__TEXT,__text) external _NSVersionOfRunTimeLibrary
00007ff8436d59a0 (__DATA_DIRTY,__common) external _NXArgc
00007ff8436d59a8 (__DATA_DIRTY,__common) external _NXArgv
                 (undefined) external __Block_copy (from libsystem_blocks)
                 (undefined) external __Block_object_assign (from libsystem_blocks)
                 (undefined) external __Block_object_dispose (from libsystem_blocks)
                 (undefined) external __Block_release (from libsystem_blocks)
                 (undefined) external __NSConcreteGlobalBlock (from libsystem_blocks)
                 (undefined) external __NSConcreteStackBlock (from libsystem_blocks)
00007ff802753dce (__TEXT,__text) external __NSGetExecutablePath
00007ff802755eb1 (__TEXT,__text) non-external (was a private external) __Z16withRemoteBufferjymbPiU13block_pointerFvPvmE
