00000001bf778be0 (__TEXT,__text) non-external +[NFPromise new]
00000001bf77a768 (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:onQueue:withError:]
00000001bf77a51c (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:onQueue:withValue:]
00000001bf77a4a8 (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:withError:]
00000001bf77a434 (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:withValue:]
00000001bf77a314 (__TEXT,__text) non-external +[NFPromise(Firstly) firstly:]
00000001bf77a3cc (__TEXT,__text) non-external +[NFPromise(Void) asVoid:]
00000001bf77a35c (__TEXT,__text) non-external +[NFPromise(Void) asVoid]
00000001bf77bb58 (__TEXT,__text) non-external +[NFReachability sharedInstance]
00000001bf776ab8 (__TEXT,__text) non-external +[NSError(NFStateMachine) fc_createStateMachineErrorForCode:userInfo:]
00000001bf778380 (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClass:withData:]
00000001bf778420 (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClass:withFile:]
00000001bf7784cc (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClasses:withData:]
00000001bf77858c (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClasses:withFile:]
00000001bf77aa18 (__TEXT,__text) non-external +[NSObject(NFAdditions) nf_compareObject:toObject:]
00000001bf77a978 (__TEXT,__text) non-external +[NSObject(NFAdditions) nf_object:isEqualToObject:]
00000001bf77d820 (__TEXT,__text) non-external +[NSValue(NFAdditions) nf_valueWithCGRect:]
00000001bf7766d4 (__TEXT,__text) non-external -[NFArchiver archiveDirectory:toLocation:]
00000001bf776924 (__TEXT,__text) non-external -[NFArchiver unarchive:toLocation:]
00000001bf7764b0 (__TEXT,__text) non-external -[NFEventManager .cxx_destruct]
00000001bf775e68 (__TEXT,__text) non-external -[NFEventManager attemptTriggersForCurrentEvent:]
00000001bf7764a0 (__TEXT,__text) non-external -[NFEventManager events]
00000001bf775694 (__TEXT,__text) non-external -[NFEventManager fireEvent:]
00000001bf77da80 (__TEXT,__text) non-external -[NFEventManager fireEvent:].cold.1
00000001bf77627c (__TEXT,__text) non-external -[NFEventManager handleAlwaysTrigger:event:]
00000001bf775ffc (__TEXT,__text) non-external -[NFEventManager handleOnceTrigger:event:]
00000001bf775610 (__TEXT,__text) non-external -[NFEventManager init]
00000001bf7758e0 (__TEXT,__text) non-external -[NFEventManager triggerAlwaysWhenAllEventsHaveOccurred:block:]
00000001bf77dbe8 (__TEXT,__text) non-external -[NFEventManager triggerAlwaysWhenAllEventsHaveOccurred:block:].cold.1
00000001bf775cd4 (__TEXT,__text) non-external -[NFEventManager triggerOnAnyEvent:block:]
00000001bf77de04 (__TEXT,__text) non-external -[NFEventManager triggerOnAnyEvent:block:].cold.1
00000001bf775c00 (__TEXT,__text) non-external -[NFEventManager triggerOnEvent:block:]
00000001bf77dd50 (__TEXT,__text) non-external -[NFEventManager triggerOnEvent:block:].cold.1
00000001bf775750 (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAllEventsHaveOccurred:block:]
00000001bf77db34 (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAllEventsHaveOccurred:block:].cold.1
00000001bf775a70 (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAnyEventHasOccurred:block:]
00000001bf77dc9c (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAnyEventHasOccurred:block:].cold.1
00000001bf7764a8 (__TEXT,__text) non-external -[NFEventManager triggers]
00000001bf77660c (__TEXT,__text) non-external -[NFEventTrigger .cxx_destruct]
00000001bf7765f4 (__TEXT,__text) non-external -[NFEventTrigger block]
00000001bf7765ec (__TEXT,__text) non-external -[NFEventTrigger events]
00000001bf776604 (__TEXT,__text) non-external -[NFEventTrigger fireOnAny]
00000001bf7765fc (__TEXT,__text) non-external -[NFEventTrigger fireOnce]
00000001bf7764f4 (__TEXT,__text) non-external -[NFEventTrigger initWithKey:fireOnce:fireOnAny:events:block:]
00000001bf7765e4 (__TEXT,__text) non-external -[NFEventTrigger key]
00000001bf778330 (__TEXT,__text) non-external -[NFLazy .cxx_destruct]
00000001bf778320 (__TEXT,__text) non-external -[NFLazy constructor]
00000001bf7780f4 (__TEXT,__text) non-external -[NFLazy initWithConstructor:]
00000001bf778328 (__TEXT,__text) non-external -[NFLazy lock]
00000001bf778288 (__TEXT,__text) non-external -[NFLazy reset]
00000001bf7781a4 (__TEXT,__text) non-external -[NFLazy value]
00000001bf77d6cc (__TEXT,__text) non-external -[NFMultiDelegate .cxx_destruct]
00000001bf77d01c (__TEXT,__text) non-external -[NFMultiDelegate addDelegate:]
00000001bf77d6bc (__TEXT,__text) non-external -[NFMultiDelegate children]
00000001bf77d1b0 (__TEXT,__text) non-external -[NFMultiDelegate conformsToProtocol:]
00000001bf77d6c4 (__TEXT,__text) non-external -[NFMultiDelegate delegateProtocol]
00000001bf77d018 (__TEXT,__text) non-external -[NFMultiDelegate delegate]
00000001bf77d548 (__TEXT,__text) non-external -[NFMultiDelegate forwardInvocation:]
00000001bf77cf44 (__TEXT,__text) non-external -[NFMultiDelegate initWithDelegate:delegateProtocol:]
00000001bf77d3b0 (__TEXT,__text) non-external -[NFMultiDelegate methodSignatureForSelector:]
00000001bf77d0a4 (__TEXT,__text) non-external -[NFMultiDelegate removeDelegate:]
00000001bf77d12c (__TEXT,__text) non-external -[NFMultiDelegate replaceDelegate:withDelegate:]
00000001bf77d24c (__TEXT,__text) non-external -[NFMultiDelegate respondsToSelector:]
00000001bf77c14c (__TEXT,__text) non-external -[NFMutexLock dealloc]
00000001bf77c0ac (__TEXT,__text) non-external -[NFMutexLock initWithOptions:]
00000001bf77c09c (__TEXT,__text) non-external -[NFMutexLock init]
00000001bf77c20c (__TEXT,__text) non-external -[NFMutexLock lock]
00000001bf77c198 (__TEXT,__text) non-external -[NFMutexLock performWithLockSync:]
00000001bf77c214 (__TEXT,__text) non-external -[NFMutexLock unlock]
00000001bf7755c0 (__TEXT,__text) non-external -[NFPendingPromise .cxx_destruct]
00000001bf775414 (__TEXT,__text) non-external -[NFPendingPromise init]
00000001bf77558c (__TEXT,__text) non-external -[NFPendingPromise promise]
00000001bf7755b0 (__TEXT,__text) non-external -[NFPendingPromise reject]
00000001bf7755a0 (__TEXT,__text) non-external -[NFPendingPromise resolve]
00000001bf775594 (__TEXT,__text) non-external -[NFPendingPromise setPromise:]
00000001bf7755b8 (__TEXT,__text) non-external -[NFPendingPromise setReject:]
00000001bf7755a8 (__TEXT,__text) non-external -[NFPendingPromise setResolve:]
00000001bf77a308 (__TEXT,__text) non-external -[NFPromise .cxx_destruct]
00000001bf778db8 (__TEXT,__text) non-external -[NFPromise always:]
00000001bf7794e4 (__TEXT,__text) non-external -[NFPromise alwaysOn:always:]
00000001bf778ca4 (__TEXT,__text) non-external -[NFPromise dealloc]
00000001bf77a16c (__TEXT,__text) non-external -[NFPromise delayOn]
00000001bf77a040 (__TEXT,__text) non-external -[NFPromise delay]
00000001bf778d58 (__TEXT,__text) non-external -[NFPromise error:]
00000001bf779444 (__TEXT,__text) non-external -[NFPromise errorOn:error:]
00000001bf779a5c (__TEXT,__text) non-external -[NFPromise errorOn]
00000001bf779954 (__TEXT,__text) non-external -[NFPromise error]
00000001bf778c14 (__TEXT,__text) non-external -[NFPromise initWithError:]
00000001bf77890c (__TEXT,__text) non-external -[NFPromise initWithResolver:]
00000001bf778b50 (__TEXT,__text) non-external -[NFPromise initWithValue:]
00000001bf7787c4 (__TEXT,__text) non-external -[NFPromise init]
00000001bf7797f4 (__TEXT,__text) non-external -[NFPromise pipeOn]
00000001bf77969c (__TEXT,__text) non-external -[NFPromise pipe]
00000001bf779ddc (__TEXT,__text) non-external -[NFPromise resolveOn]
00000001bf779af0 (__TEXT,__text) non-external -[NFPromise resolve]
00000001bf77a2f4 (__TEXT,__text) non-external -[NFPromise seal]
00000001bf77a2fc (__TEXT,__text) non-external -[NFPromise setSeal:]
00000001bf778cf8 (__TEXT,__text) non-external -[NFPromise then:]
00000001bf778e18 (__TEXT,__text) non-external -[NFPromise thenOn:then:]
00000001bf779608 (__TEXT,__text) non-external -[NFPromise thenOn]
00000001bf779578 (__TEXT,__text) non-external -[NFPromise then]
00000001bf77b9f8 (__TEXT,__text) non-external -[NFPromiseSeal .cxx_destruct]
00000001bf77b37c (__TEXT,__text) non-external -[NFPromiseSeal alwaysOn:always:]
00000001bf77af50 (__TEXT,__text) non-external -[NFPromiseSeal dealloc]
00000001bf77e0d4 (__TEXT,__text) non-external -[NFPromiseSeal dealloc].cold.1
00000001bf77e188 (__TEXT,__text) non-external -[NFPromiseSeal dealloc].cold.2
00000001bf77b9b8 (__TEXT,__text) non-external -[NFPromiseSeal error]
00000001bf77b9dc (__TEXT,__text) non-external -[NFPromiseSeal handlers]
00000001bf77aecc (__TEXT,__text) non-external -[NFPromiseSeal initWithError:]
00000001bf77ae48 (__TEXT,__text) non-external -[NFPromiseSeal initWithValue:]
00000001bf77adc0 (__TEXT,__text) non-external -[NFPromiseSeal init]
00000001bf77b9f0 (__TEXT,__text) non-external -[NFPromiseSeal lock]
00000001bf77b538 (__TEXT,__text) non-external -[NFPromiseSeal registerHandler:]
00000001bf77b060 (__TEXT,__text) non-external -[NFPromiseSeal reject:]
00000001bf77b04c (__TEXT,__text) non-external -[NFPromiseSeal resolve:]
00000001bf77b078 (__TEXT,__text) non-external -[NFPromiseSeal resolveOn:reject:resolve:]
00000001bf77b6c8 (__TEXT,__text) non-external -[NFPromiseSeal seal:error:resolution:]
00000001bf77e23c (__TEXT,__text) non-external -[NFPromiseSeal seal:error:resolution:].cold.1
00000001bf77b9c0 (__TEXT,__text) non-external -[NFPromiseSeal setError:]
00000001bf77b9e4 (__TEXT,__text) non-external -[NFPromiseSeal setHandlers:]
00000001bf77b9d4 (__TEXT,__text) non-external -[NFPromiseSeal setState:]
00000001bf77b9ac (__TEXT,__text) non-external -[NFPromiseSeal setValue:]
00000001bf77b9cc (__TEXT,__text) non-external -[NFPromiseSeal state]
00000001bf77b9a4 (__TEXT,__text) non-external -[NFPromiseSeal value]
00000001bf77c04c (__TEXT,__text) non-external -[NFReachability .cxx_destruct]
00000001bf77bf38 (__TEXT,__text) non-external -[NFReachability _statusFromNetworkPath:]
00000001bf77bdf4 (__TEXT,__text) non-external -[NFReachability _updateCurrentNetworkPath:]
00000001bf77c038 (__TEXT,__text) non-external -[NFReachability currentNetworkPath]
00000001bf77c000 (__TEXT,__text) non-external -[NFReachability currentReachabilityStatus]
00000001bf77bda8 (__TEXT,__text) non-external -[NFReachability dealloc]
00000001bf77bbf0 (__TEXT,__text) non-external -[NFReachability init]
00000001bf77c024 (__TEXT,__text) non-external -[NFReachability networkPathMonitor]
00000001bf77c010 (__TEXT,__text) non-external -[NFReachability observationQueue]
00000001bf77c040 (__TEXT,__text) non-external -[NFReachability setCurrentNetworkPath:]
00000001bf77c008 (__TEXT,__text) non-external -[NFReachability setCurrentReachabilityStatus:]
00000001bf77c02c (__TEXT,__text) non-external -[NFReachability setNetworkPathMonitor:]
00000001bf77c018 (__TEXT,__text) non-external -[NFReachability setObservationQueue:]
00000001bf777f58 (__TEXT,__text) non-external -[NFStateMachine .cxx_destruct]
00000001bf776f80 (__TEXT,__text) non-external -[NFStateMachine activateIfNeeded]
00000001bf776ee8 (__TEXT,__text) non-external -[NFStateMachine activate]
00000001bf777250 (__TEXT,__text) non-external -[NFStateMachine addEvent:]
00000001bf77df6c (__TEXT,__text) non-external -[NFStateMachine addEvent:].cold.1
00000001bf777104 (__TEXT,__text) non-external -[NFStateMachine addState:]
00000001bf77deb8 (__TEXT,__text) non-external -[NFStateMachine addState:].cold.1
00000001bf777090 (__TEXT,__text) non-external -[NFStateMachine deactivateIfNeeded]
00000001bf776ff4 (__TEXT,__text) non-external -[NFStateMachine deactivate]
00000001bf776dcc (__TEXT,__text) non-external -[NFStateMachine debugDescription]
00000001bf776d10 (__TEXT,__text) non-external -[NFStateMachine description]
00000001bf777f20 (__TEXT,__text) non-external -[NFStateMachine events]
00000001bf77739c (__TEXT,__text) non-external -[NFStateMachine fireEventWithName:withContext:]
00000001bf776bc0 (__TEXT,__text) non-external -[NFStateMachine initWithState:withOwner:]
00000001bf777f34 (__TEXT,__text) non-external -[NFStateMachine lock]
