00007ffb4306cc60 (__DATA,__bss) non-external _A
00007ffb4306cab0 (__DATA,__data) external _CMARK_ARENA_MEM_ALLOCATOR
00007ffb4306c968 (__DATA,__data) external _CMARK_DEFAULT_MEM_ALLOCATOR
00007ffb4306c960 (__DATA,__data) external _CMARK_NODE_LAST_BLOCK
00007ffb4306c964 (__DATA,__data) external _CMARK_NODE_LAST_INLINE
00007ffb4306cc68 (__DATA,__common) external _CMARK_NODE_STRIKETHROUGH
00007ffb4306cc70 (__DATA,__common) external _CMARK_NODE_TABLE
00007ffb4306cc78 (__DATA,__common) external _CMARK_NODE_TABLE_CELL
00007ffb4306cc74 (__DATA,__common) external _CMARK_NODE_TABLE_ROW
00007ffb18d60a30 (__TEXT,__const) non-external _HREF_SAFE
00007ffb43064370 (__DATA,__const) non-external _HTML_ESCAPES
00007ffb18d5f110 (__TEXT,__const) non-external _HTML_ESCAPE_TABLE
00007ffb18d60930 (__TEXT,__const) non-external _SMART_PUNCT_CHARS
00007ffb18d560b4 (__TEXT,__text) non-external _S_advance_offset
00007ffb18d48499 (__TEXT,__text) non-external _S_blankline
00007ffb18d569ff (__TEXT,__text) non-external _S_can_contain
00007ffb18d48486 (__TEXT,__text) non-external _S_cr
00007ffb18d5614b (__TEXT,__text) non-external _S_find_first_nonspace
00007ffb18d56949 (__TEXT,__text) non-external _S_node_unlink
00007ffb18d484ac (__TEXT,__text) non-external _S_out
00007ffb18d46d4e (__TEXT,__text) non-external _S_outc
00007ffb18d5480e (__TEXT,__text) non-external _S_parser_feed
00007ffb18d60920 (__TEXT,__const) non-external _S_parser_feed.repl
00007ffb18d57ca7 (__TEXT,__text) non-external _S_print_error
00007ffb18d54f23 (__TEXT,__text) non-external _S_process_line
00007ffb18d5e68b (__TEXT,__text) non-external _S_process_line.cold.1
00007ffb18d5e6ac (__TEXT,__text) non-external _S_process_line.cold.2
00007ffb18d5e6cd (__TEXT,__text) non-external _S_process_line.cold.3
00007ffb18d5e6f0 (__TEXT,__text) non-external _S_process_line.cold.4
00007ffb18d5e713 (__TEXT,__text) non-external _S_process_line.cold.5
00007ffb18d467a4 (__TEXT,__text) non-external _S_put_footnote_backref
00007ffb18d4485c (__TEXT,__text) non-external _S_render_node
00007ffb18d46e38 (__TEXT,__text) non-external _S_render_node
00007ffb18d49d98 (__TEXT,__text) non-external _S_render_node
00007ffb18d5c1ec (__TEXT,__text) non-external _S_render_node
00007ffb18d5e474 (__TEXT,__text) non-external _S_render_node.cold.1
00007ffb18d5e508 (__TEXT,__text) non-external _S_render_node.cold.1
00007ffb18d5e570 (__TEXT,__text) non-external _S_render_node.cold.1
00007ffb18d5ee38 (__TEXT,__text) non-external _S_render_node.cold.1
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
00007ffb18d566e0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ffb18d56700 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
                 (undefined) external ___memset_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___tolower (from libSystem)
00007ffb18d48850 (__TEXT,__text) external __ext_scan_at
00007ffb18d4a60c (__TEXT,__text) external __scan_at
00007ffb18d5251c (__TEXT,__text) external __scan_atx_heading_start
00007ffb18d60420 (__TEXT,__const) non-external __scan_atx_heading_start.yybm
00007ffb18d4b9ff (__TEXT,__text) external __scan_autolink_email
00007ffb18d5f820 (__TEXT,__const) non-external __scan_autolink_email.yybm
00007ffb18d4afaa (__TEXT,__text) external __scan_autolink_uri
