00000001d9214c20 (__DATA,__data) external _NDR_record
00000001803aabd0 (__TEXT,__text) non-external __Xexception_raise
00000001803aaa54 (__TEXT,__text) non-external __Xexception_raise_state
00000001803aa880 (__TEXT,__text) non-external __Xexception_raise_state_identity
000000018039a6b8 (__TEXT,__text) external _____sigwait_nocancel
00000001803bf848 (__TEXT,__const) external ____kernelVersionNumber
00000001803bf810 (__TEXT,__const) external ____kernelVersionString
000000018039a6e4 (__TEXT,__text) external ___abort_with_payload
000000018039628c (__TEXT,__text) external ___accept
000000018039a710 (__TEXT,__text) external ___accept_nocancel
000000018039a73c (__TEXT,__text) external ___access_extended
000000018039a768 (__TEXT,__text) external ___aio_suspend_nocancel
00000001803956e8 (__TEXT,__text) external ___bind
0000000180391b28 (__TEXT,__text) external ___bsdthread_create
000000018038fac4 (__TEXT,__text) external ___bsdthread_ctl
0000000180393b70 (__TEXT,__text) external ___bsdthread_register
0000000180390bb8 (__TEXT,__text) external ___bsdthread_terminate
0000000180399f18 (__TEXT,__text) external ___carbon_delete
000000018039a794 (__TEXT,__text) external ___channel_get_info
000000018039a7c0 (__TEXT,__text) external ___channel_get_opt
000000018039a7ec (__TEXT,__text) external ___channel_open
000000018039a818 (__TEXT,__text) external ___channel_set_opt
000000018039a844 (__TEXT,__text) external ___channel_sync
0000000180391a70 (__TEXT,__text) external ___chmod
000000018039366c (__TEXT,__text) external ___chmod_extended
000000018038f5b0 (__TEXT,__text) external ___close_nocancel
000000018039a870 (__TEXT,__text) external ___coalition
000000018039a89c (__TEXT,__text) external ___coalition_info
000000018039a8c8 (__TEXT,__text) external ___coalition_ledger
000000018038fc1c (__TEXT,__text) external ___commpage_gettimeofday
000000018038fc24 (__TEXT,__text) non-external ___commpage_gettimeofday_internal
0000000180392298 (__TEXT,__text) external ___connect
0000000180392100 (__TEXT,__text) external ___connect_nocancel
000000018039a8f4 (__TEXT,__text) external ___copyfile
000000018038e81c (__TEXT,__text) external ___csrctl
00000001803a2f2c (__TEXT,__text) external ___darwin_check_fd_set_overflow
000000018039a920 (__TEXT,__text) external ___debug_syscall_reject
000000018039a94c (__TEXT,__text) external ___debug_syscall_reject_config
0000000180399f44 (__TEXT,__text) external ___delete
0000000180390b8c (__TEXT,__text) external ___disable_threadsignal
000000018038e74c (__TEXT,__text) external ___error
000000018039a978 (__TEXT,__text) external ___execve
00000001803950f8 (__TEXT,__text) external ___exit
0000000180392554 (__TEXT,__text) external ___fchmod
0000000180393778 (__TEXT,__text) external ___fchmod_extended
000000018038e8cc (__TEXT,__text) external ___fcntl
00000001803920a8 (__TEXT,__text) external ___fcntl_nocancel
00000001803954d8 (__TEXT,__text) external ___fork
000000018039a9a4 (__TEXT,__text) external ___fs_snapshot
000000018039bd54 (__TEXT,__text) external ___fstat
000000018039374c (__TEXT,__text) external ___fstat64_extended
000000018039a9d0 (__TEXT,__text) external ___fstat_extended
000000018039bdac (__TEXT,__text) external ___fstatat
000000018039be04 (__TEXT,__text) external ___fstatfs
000000018039a9fc (__TEXT,__text) external ___fsync_nocancel
0000000180396fe4 (__TEXT,__text) external ___get_remove_counter
000000018038e768 (__TEXT,__text) external ___getattrlist
000000018038f9e8 (__TEXT,__text) external ___getdirentries64
000000018039bf0c (__TEXT,__text) external ___getfsstat
0000000180393614 (__TEXT,__text) external ___gethostuuid
00000001803998b0 (__TEXT,__text) external ___getlogin
000000018039242c (__TEXT,__text) external ___getpeername
000000018038e2a0 (__TEXT,__text) external ___getpid
00000001803900f4 (__TEXT,__text) external ___getrlimit
000000018039aa28 (__TEXT,__text) external ___getsgroups
00000001803955b0 (__TEXT,__text) external ___getsockname
000000018038f8a8 (__TEXT,__text) external ___gettid
0000000180391bac (__TEXT,__text) external ___gettimeofday
0000000180391b80 (__TEXT,__text) non-external (was a private external) ___gettimeofday_with_mach
000000018039aa54 (__TEXT,__text) external ___getwgroups
000000018039aa80 (__TEXT,__text) external ___guarded_open_dprotected_np
00000001803915e4 (__TEXT,__text) external ___guarded_open_np
000000018039aaac (__TEXT,__text) external ___identitysvc
0000000180391908 (__TEXT,__text) external ___inc_remove_counter
0000000180399884 (__TEXT,__text) external ___initgroups
000000018039226c (__TEXT,__text) external ___ioctl
00000001803925dc (__TEXT,__text) external ___iopolicysys
000000018039aad8 (__TEXT,__text) external ___kdebug_trace
000000018039094c (__TEXT,__text) external ___kdebug_trace64
000000018039ab04 (__TEXT,__text) external ___kdebug_trace_string
00000001803938ec (__TEXT,__text) external ___kdebug_typefilter
00000001803bf8b8 (__TEXT,__const) non-external (was a private external) ___kernelVersionNumber
00000001803bf880 (__TEXT,__const) non-external (was a private external) ___kernelVersionString
0000000180395bf4 (__TEXT,__text) external ___kill
000000018039426c (__TEXT,__text) external ___kqueue_workloop_ctl
0000000180393828 (__TEXT,__text) external ___lchown
0000000180393918 (__TEXT,__text) external ___libkernel_init
000000018039d064 (__TEXT,__text) external ___libkernel_init_after_boot_tasks
000000018039cf74 (__TEXT,__text) external ___libkernel_init_late
0000000180393b5c (__TEXT,__text) external ___libkernel_platform_init
000000018038e290 (__TEXT,__text) external ___libkernel_voucher_init
0000000180396260 (__TEXT,__text) external ___listen
000000018039ab30 (__TEXT,__text) external ___log_data
000000018038f648 (__TEXT,__text) external ___lseek
000000018039c0f0 (__TEXT,__text) external ___lstat
0000000180393698 (__TEXT,__text) external ___lstat64_extended
000000018039ab5c (__TEXT,__text) external ___lstat_extended
000000018039ab88 (__TEXT,__text) external ___mac_execve
000000018039abb4 (__TEXT,__text) external ___mac_get_fd
000000018039abe0 (__TEXT,__text) external ___mac_get_file
