00007ff841d57718 (__DATA,__data) non-external _C
00007ff841d59660 (__DATA,__bss) non-external _CF6464
00007ff80031fbb0 (__TEXT,__const) non-external _CIFP
00007ff841d5a39c (__DATA,__bss) non-external _EMSG
00007ff841d5a39d (__DATA,__bss) non-external _EMSG
00007ff80031fb80 (__TEXT,__const) non-external _ExpandTr
00007ff841d59650 (__DATA,__bss) non-external _IE3264
00007ff80031fb40 (__TEXT,__const) non-external _IP
00007ff841d595c0 (__DATA,__bss) non-external _KS
00007ff843acefc0 (__DATA_DIRTY,__bss) non-external _NXArgc_pointer
00007ff843acefb8 (__DATA_DIRTY,__bss) non-external _NXArgv_pointer
                 (undefined) external _OSAtomicDequeue (from libsystem_platform)
                 (undefined) external _OSAtomicEnqueue (from libsystem_platform)
00007ff80031fbf0 (__TEXT,__const) non-external _P32Tr
00007ff80031fb00 (__TEXT,__const) non-external _PC1
00007ff841d595b8 (__DATA,__bss) non-external _PC1ROT
00007ff80031fac0 (__TEXT,__const) non-external _PC2
00007ff841d59640 (__DATA,__bss) non-external _PC2ROT
00007ff80031fab0 (__TEXT,__const) non-external _Rotates
00007ff80031fc10 (__TEXT,__const) non-external _S
00007ff841d59658 (__DATA,__bss) non-external _SPE
00007ff8002f242c (__TEXT,__text) non-external (was a private external) __BIG5_init
00007ff8002f2463 (__TEXT,__text) non-external __BIG5_mbrtowc
00007ff8002f256b (__TEXT,__text) non-external __BIG5_mbsinit
00007ff8002f252b (__TEXT,__text) non-external __BIG5_wcrtomb
                 (undefined) external __Block_copy (from libsystem_blocks)
                 (undefined) external __Block_release (from libsystem_blocks)
00007ff841d57838 (__DATA,__data) non-external __C_lconv
00007ff8400268a0 (__DATA_CONST,__const) non-external __C_messages_locale
00007ff8400268c0 (__DATA_CONST,__const) non-external __C_monetary_locale
00007ff840026968 (__DATA_CONST,__const) non-external __C_numeric_locale
00007ff840026b40 (__DATA_CONST,__const) non-external __C_time_locale
00007ff841d57990 (__DATA,__data) external __CurrentRuneLocale
00007ff841d57c08 (__DATA,__constrw) external __DefaultRuneLocale
00007ff841d58890 (__DATA,__constrw) non-external (was a private external) __DefaultRuneXLocale
00007ff8002f430c (__TEXT,__text) non-external __EUC_free_extra
00007ff8002f36a3 (__TEXT,__text) non-external (was a private external) __EUC_init
00007ff8002f3829 (__TEXT,__text) non-external __EUC_mbrtowc
00007ff8002f42f2 (__TEXT,__text) non-external __EUC_mbsinit
00007ff8002f39d5 (__TEXT,__text) non-external __EUC_wcrtomb
00007ff800308bfa (__TEXT,__text) external __Exit
00007ff8002f433e (__TEXT,__text) non-external (was a private external) __GB18030_init
00007ff8002f4375 (__TEXT,__text) non-external __GB18030_mbrtowc
00007ff8002f459f (__TEXT,__text) non-external __GB18030_mbsinit
00007ff8002f44bc (__TEXT,__text) non-external __GB18030_wcrtomb
00007ff8002f45b8 (__TEXT,__text) non-external (was a private external) __GB2312_init
00007ff8002f45ef (__TEXT,__text) non-external __GB2312_mbrtowc
00007ff8002f471e (__TEXT,__text) non-external __GB2312_mbsinit
00007ff8002f46de (__TEXT,__text) non-external __GB2312_wcrtomb
00007ff8002f4737 (__TEXT,__text) non-external (was a private external) __GBK_init
00007ff8002f476e (__TEXT,__text) non-external __GBK_mbrtowc
00007ff8002f4876 (__TEXT,__text) non-external __GBK_mbsinit
00007ff8002f4836 (__TEXT,__text) non-external __GBK_wcrtomb
00007ff8002f4d25 (__TEXT,__text) non-external (was a private external) __MSKanji_init
00007ff8002f4d5c (__TEXT,__text) non-external __MSKanji_mbrtowc
00007ff8002f4fb3 (__TEXT,__text) non-external __MSKanji_mbsinit
00007ff8002f4e35 (__TEXT,__text) non-external __MSKanji_wcrtomb
00007ff8002a5c35 (__TEXT,__text) external __NSGetArgc
00007ff8002a5c28 (__TEXT,__text) external __NSGetArgv
00007ff80029f4cd (__TEXT,__text) external __NSGetEnviron
00007ff80029f556 (__TEXT,__text) external __NSGetMachExecuteHeader
00007ff8002a5026 (__TEXT,__text) external __NSGetProgname
00007ff841d5a4b8 (__DATA,__common) external __PathLocale
00007ff8002c2d5e (__TEXT,__text) external __Read_RuneMagi
00007ff800308582 (__TEXT,__text) non-external (was a private external) __UTF2_init
00007ff8003085cf (__TEXT,__text) non-external __UTF2_mbrtowc
00007ff8003087b6 (__TEXT,__text) non-external __UTF2_mbsinit
00007ff8003087d0 (__TEXT,__text) non-external __UTF2_mbsnrtowcs
00007ff800308730 (__TEXT,__text) non-external __UTF2_wcrtomb
00007ff800308952 (__TEXT,__text) non-external __UTF2_wcsnrtombs
00007ff8002c32fc (__TEXT,__text) non-external (was a private external) __UTF8_init
00007ff8002c4d43 (__TEXT,__text) non-external __UTF8_mbrtowc
00007ff8002f56d3 (__TEXT,__text) non-external __UTF8_mbsinit
00007ff8002c4fe8 (__TEXT,__text) non-external __UTF8_mbsnrtowcs
00007ff8002c5729 (__TEXT,__text) non-external __UTF8_wcrtomb
00007ff8002f56ed (__TEXT,__text) non-external __UTF8_wcsnrtombs
00007ff8002af517 (__TEXT,__text) external ___Balloc_D2A
00007ff8002af6db (__TEXT,__text) external ___Bfree_D2A
                 (undefined) weak external ____chkstk_darwin (from libsystem_pthread)
00007ff8002ddb36 (__TEXT,__text) external ____mb_cur_max
00007ff8002ddb64 (__TEXT,__text) external ____mb_cur_max_l
00007ff8002b4800 (__TEXT,__text) external ____runetype
00007ff8002b4828 (__TEXT,__text) external ____runetype_l
00007ff8002f55dc (__TEXT,__text) external ____tolower
00007ff8002f5535 (__TEXT,__text) external ____tolower_l
00007ff8002f56ab (__TEXT,__text) external ____toupper
00007ff8002f5604 (__TEXT,__text) external ____toupper_l
00007ff80031db54 (__TEXT,__text) non-external (was a private external) ___abort
00007ff8002e845c (__TEXT,__text) external ___add_ovflpage
00007ff8002e81e6 (__TEXT,__text) external ___addel
00007ff8002b3965 (__TEXT,__text) external ___any_on_D2A
00007ff80031cd24 (__TEXT,__text) external ___assert_rtn
00007ff843ad0858 (__DATA_DIRTY,__bss) non-external ___atexit
00007ff8002bfb71 (__TEXT,__text) non-external (was a private external) ___atexit_init
00007ff843ad0860 (__DATA_DIRTY,__bss) non-external ___atexit_new_registration
00007ff8002c69d0 (__TEXT,__text) external ___b2d_D2A
00007ff8002e6b5b (__TEXT,__text) external ___big_delete
00007ff8002e6888 (__TEXT,__text) external ___big_insert
