                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___memcpy_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___tolower (from libSystem)
                 (undefined) external ___toupper (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
00000001941c1e70 (__TEXT,__text) external _pcre_assign_jit_stack
00000001d5717720 (__DATA,__common) external _pcre_callout
00000001941a2ee8 (__TEXT,__text) external _pcre_compile
00000001941a2efc (__TEXT,__text) external _pcre_compile2
00000001941ac920 (__TEXT,__text) external _pcre_config
00000001941c1ad8 (__TEXT,__text) external _pcre_copy_named_substring
00000001941c1a68 (__TEXT,__text) external _pcre_copy_substring
00000001941ac9f0 (__TEXT,__text) external _pcre_dfa_exec
00000001941b34c8 (__TEXT,__text) external _pcre_exec
00000001d6cca470 (__AUTH,__data) external _pcre_free
00000001941c3c14 (__TEXT,__text) external _pcre_free_study
00000001941c1e54 (__TEXT,__text) external _pcre_free_substring
00000001941c1d28 (__TEXT,__text) external _pcre_free_substring_list
00000001941c14d8 (__TEXT,__text) external _pcre_fullinfo
00000001941c1dd8 (__TEXT,__text) external _pcre_get_named_substring
00000001941c1798 (__TEXT,__text) external _pcre_get_stringnumber
00000001941c18ac (__TEXT,__text) external _pcre_get_stringtable_entries
00000001941c1d38 (__TEXT,__text) external _pcre_get_substring
00000001941c1c1c (__TEXT,__text) external _pcre_get_substring_list
00000001941c1e74 (__TEXT,__text) external _pcre_jit_free_unused_memory
00000001941c1e64 (__TEXT,__text) external _pcre_jit_stack_alloc
00000001941c1e6c (__TEXT,__text) external _pcre_jit_stack_free
00000001941c1e78 (__TEXT,__text) external _pcre_maketables
00000001d6cca468 (__AUTH,__data) external _pcre_malloc
00000001941a2c4c (__TEXT,__text) external _pcre_pattern_to_host_byte_order
00000001941c2658 (__TEXT,__text) external _pcre_refcount
00000001d6cca480 (__AUTH,__data) external _pcre_stack_free
00000001d5717728 (__DATA,__common) external _pcre_stack_guard
00000001d6cca478 (__AUTH,__data) external _pcre_stack_malloc
00000001941c26bc (__TEXT,__text) external _pcre_study
00000001941c421c (__TEXT,__text) external _pcre_version
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncmp (from libSystem)
