00007ff841bbc890 (__DATA,__data) external _NDR_record
00007ff800411f1e (__TEXT,__text) non-external __Xexception_raise
00007ff800411fc6 (__TEXT,__text) non-external __Xexception_raise_state
00007ff8004120b8 (__TEXT,__text) non-external __Xexception_raise_state_identity
00007ff800404120 (__TEXT,__text) external _____sigwait_nocancel
00007ff800422988 (__TEXT,__const) external ____kernelVersionNumber
00007ff800422950 (__TEXT,__const) external ____kernelVersionString
00007ff800404138 (__TEXT,__text) external ___abort_with_payload
00007ff800400854 (__TEXT,__text) external ___accept
00007ff800404150 (__TEXT,__text) external ___accept_nocancel
00007ff800404168 (__TEXT,__text) external ___access_extended
00007ff800404180 (__TEXT,__text) external ___aio_suspend_nocancel
00007ff8003ffd50 (__TEXT,__text) external ___bind
00007ff8003fca60 (__TEXT,__text) external ___bsdthread_create
00007ff8003fb1e8 (__TEXT,__text) external ___bsdthread_ctl
00007ff8003fe538 (__TEXT,__text) external ___bsdthread_register
00007ff8003fbe9c (__TEXT,__text) external ___bsdthread_terminate
00007ff80040567e (__TEXT,__text) non-external ___bzero
00007ff800403acb (__TEXT,__text) external ___carbon_delete
00007ff800404198 (__TEXT,__text) external ___channel_get_info
00007ff8004041b0 (__TEXT,__text) external ___channel_get_opt
00007ff8004041c8 (__TEXT,__text) external ___channel_open
00007ff8004041e0 (__TEXT,__text) external ___channel_set_opt
00007ff8004041f8 (__TEXT,__text) external ___channel_sync
00007ff8003fc9f0 (__TEXT,__text) external ___chmod
00007ff8003fe0cc (__TEXT,__text) external ___chmod_extended
00007ff8003faea0 (__TEXT,__text) external ___close_nocancel
00007ff800404210 (__TEXT,__text) external ___coalition
00007ff800404228 (__TEXT,__text) external ___coalition_info
00007ff800404240 (__TEXT,__text) external ___coalition_ledger
00007ff8003fb2b2 (__TEXT,__text) external ___commpage_gettimeofday
00007ff8003fb2b9 (__TEXT,__text) non-external ___commpage_gettimeofday_internal
00007ff8003fd13c (__TEXT,__text) external ___connect
00007ff8003fcfc4 (__TEXT,__text) external ___connect_nocancel
00007ff800404258 (__TEXT,__text) external ___copyfile
00007ff800404270 (__TEXT,__text) external ___crossarch_trap
00007ff8003fa284 (__TEXT,__text) external ___csrctl
00007ff80040b2f7 (__TEXT,__text) external ___darwin_check_fd_set_overflow
00007ff800404288 (__TEXT,__text) external ___debug_syscall_reject
00007ff8004042a0 (__TEXT,__text) external ___debug_syscall_reject_config
00007ff800403ae4 (__TEXT,__text) external ___delete
00007ff8003fbe84 (__TEXT,__text) external ___disable_threadsignal
00007ff8003fa1ec (__TEXT,__text) external ___error
00007ff8004042b8 (__TEXT,__text) external ___execve
00007ff8003ff878 (__TEXT,__text) external ___exit
00007ff8003fd34c (__TEXT,__text) external ___fchmod
00007ff8003fe200 (__TEXT,__text) external ___fchmod_extended
00007ff8003fa498 (__TEXT,__text) external ___fcntl
00007ff8003fcf94 (__TEXT,__text) external ___fcntl_nocancel
00007ff8003ffbc0 (__TEXT,__text) external ___fork
00007ff8004042d0 (__TEXT,__text) external ___fs_snapshot
00007ff8003fe1e8 (__TEXT,__text) external ___fstat64_extended
00007ff8004042e8 (__TEXT,__text) external ___fstat_extended
00007ff800404300 (__TEXT,__text) external ___fsync_nocancel
00007ff8004013e5 (__TEXT,__text) external ___get_remove_counter
00007ff8003fa204 (__TEXT,__text) external ___getattrlist
00007ff8003fb170 (__TEXT,__text) external ___getdirentries64
00007ff8003fe09c (__TEXT,__text) external ___gethostuuid
00007ff8004035c8 (__TEXT,__text) external ___getlogin
00007ff8003fd240 (__TEXT,__text) external ___getpeername
00007ff8003f9e40 (__TEXT,__text) external ___getpid
00007ff8003fb688 (__TEXT,__text) external ___getrlimit
00007ff800404318 (__TEXT,__text) external ___getsgroups
00007ff8003ffc60 (__TEXT,__text) external ___getsockname
00007ff8003fb07c (__TEXT,__text) external ___gettid
00007ff8003fcaa5 (__TEXT,__text) external ___gettimeofday
00007ff8003fca90 (__TEXT,__text) non-external (was a private external) ___gettimeofday_with_mach
00007ff800404330 (__TEXT,__text) external ___getwgroups
00007ff800404348 (__TEXT,__text) external ___guarded_open_dprotected_np
00007ff8003fc6dc (__TEXT,__text) external ___guarded_open_np
00007ff800404360 (__TEXT,__text) external ___identitysvc
00007ff8003fc8bc (__TEXT,__text) external ___inc_remove_counter
00007ff8004035b0 (__TEXT,__text) external ___initgroups
00007ff8003fd124 (__TEXT,__text) external ___ioctl
00007ff8003fd3ac (__TEXT,__text) external ___iopolicysys
00007ff800404378 (__TEXT,__text) external ___kdebug_trace
00007ff8003fbd10 (__TEXT,__text) external ___kdebug_trace64
00007ff800404390 (__TEXT,__text) external ___kdebug_trace_string
00007ff8003fe2d0 (__TEXT,__text) external ___kdebug_typefilter
00007ff8004229f8 (__TEXT,__const) non-external (was a private external) ___kernelVersionNumber
00007ff8004229c0 (__TEXT,__const) non-external (was a private external) ___kernelVersionString
00007ff8004002fc (__TEXT,__text) external ___kill
00007ff8003fea64 (__TEXT,__text) external ___kqueue_workloop_ctl
00007ff8003fe260 (__TEXT,__text) external ___lchown
00007ff8003fe2e7 (__TEXT,__text) external ___libkernel_init
00007ff80040583d (__TEXT,__text) external ___libkernel_init_after_boot_tasks
00007ff80040578d (__TEXT,__text) external ___libkernel_init_late
00007ff8003fe527 (__TEXT,__text) external ___libkernel_platform_init
00007ff8003f9e33 (__TEXT,__text) external ___libkernel_voucher_init
00007ff80040083c (__TEXT,__text) external ___listen
00007ff8004043a8 (__TEXT,__text) external ___log_data
00007ff8003faefc (__TEXT,__text) external ___lseek
00007ff8003fe0e4 (__TEXT,__text) external ___lstat64_extended
00007ff8004043c0 (__TEXT,__text) external ___lstat_extended
00007ff8004043d8 (__TEXT,__text) external ___mac_execve
00007ff8004043f0 (__TEXT,__text) external ___mac_get_fd
00007ff800404408 (__TEXT,__text) external ___mac_get_file
00007ff800404420 (__TEXT,__text) external ___mac_get_link
00007ff800404438 (__TEXT,__text) external ___mac_get_mount
00007ff800404450 (__TEXT,__text) external ___mac_get_pid
00007ff800404468 (__TEXT,__text) external ___mac_get_proc
00007ff800404480 (__TEXT,__text) external ___mac_getfsstat
00007ff800404498 (__TEXT,__text) external ___mac_mount
00007ff8004044b0 (__TEXT,__text) external ___mac_set_fd
00007ff8004044c8 (__TEXT,__text) external ___mac_set_file
00007ff8004044e0 (__TEXT,__text) external ___mac_set_link
00007ff8004007f4 (__TEXT,__text) external ___mac_set_proc
00007ff8003faf94 (__TEXT,__text) external ___mac_syscall
00007ff8004044f8 (__TEXT,__text) external ___mach_bridge_remote_time
00007ff800404510 (__TEXT,__text) external ___mach_eventlink_signal
00007ff800404528 (__TEXT,__text) external ___mach_eventlink_signal_wait_until
00007ff800404540 (__TEXT,__text) external ___mach_eventlink_wait_until
00007ff800404558 (__TEXT,__text) external ___map_with_linking_np
00007ff800404570 (__TEXT,__text) external ___memorystatus_available_memory
00007ff800404588 (__TEXT,__text) external ___microstackshot
00007ff8004045a0 (__TEXT,__text) external ___mkdir_extended
00007ff8004045b8 (__TEXT,__text) external ___mkfifo_extended
00007ff8003fa590 (__TEXT,__text) external ___mmap
00007ff8003fca78 (__TEXT,__text) external ___mprotect
00007ff8004045d0 (__TEXT,__text) external ___msgctl
00007ff8004045e8 (__TEXT,__text) external ___msgrcv_nocancel
00007ff800404600 (__TEXT,__text) external ___msgsnd_nocancel
00007ff800404618 (__TEXT,__text) external ___msgsys
00007ff8003fea18 (__TEXT,__text) external ___msync
00007ff800404630 (__TEXT,__text) external ___msync_nocancel
00007ff8003fc7c8 (__TEXT,__text) external ___munmap
00007ff800404648 (__TEXT,__text) external ___nexus_create
00007ff800404660 (__TEXT,__text) external ___nexus_deregister
00007ff800404678 (__TEXT,__text) external ___nexus_destroy
00007ff800404690 (__TEXT,__text) external ___nexus_get_opt
00007ff8004046a8 (__TEXT,__text) external ___nexus_open
00007ff8004046c0 (__TEXT,__text) external ___nexus_register
00007ff8004046d8 (__TEXT,__text) external ___nexus_set_opt
00007ff8003fa234 (__TEXT,__text) external ___open
00007ff8003fe1d0 (__TEXT,__text) external ___open_dprotected_np
00007ff800403a9c (__TEXT,__text) external ___open_extended
00007ff8003fa4e0 (__TEXT,__text) external ___open_nocancel
00007ff8003faeb8 (__TEXT,__text) external ___openat
00007ff8004046f0 (__TEXT,__text) external ___openat_dprotected_np
00007ff8003fe290 (__TEXT,__text) external ___openat_nocancel
00007ff841bbc958 (__DATA,__bss) non-external ___os_ch_md_redzone_cookie
00007ff80040f660 (__TEXT,__text) external ___os_nexus_flow_add
00007ff80040f6c9 (__TEXT,__text) external ___os_nexus_flow_del
00007ff80040f7eb (__TEXT,__text) external ___os_nexus_get_llink_info
00007ff80040f4e5 (__TEXT,__text) external ___os_nexus_ifattach
00007ff80040f5cb (__TEXT,__text) external ___os_nexus_ifdetach
00007ff8003fcb48 (__TEXT,__text) external ___persona
00007ff8003fea30 (__TEXT,__text) external ___pipe
00007ff800404708 (__TEXT,__text) external ___poll_nocancel
00007ff8003ff5d8 (__TEXT,__text) external ___posix_spawn
00007ff800404720 (__TEXT,__text) external ___pread_nocancel
00007ff800404738 (__TEXT,__text) external ___preadv_nocancel
00007ff8003faaf8 (__TEXT,__text) external ___proc_info
00007ff800404750 (__TEXT,__text) external ___proc_info_extended_id
00007ff8003ffcc0 (__TEXT,__text) external ___process_policy
