00007ffa184a4f0a (__TEXT,__text) external _CGLGetCurrentContext
00007ffa184a4eed (__TEXT,__text) external _CGLSetCurrentContext
00007ffa1849ad97 (__TEXT,__text) external _glAccum
00007ffa184a10e1 (__TEXT,__text) external _glActiveShaderProgram
00007ffa184a37f3 (__TEXT,__text) external _glActiveStencilFaceEXT
00007ffa1849dbe6 (__TEXT,__text) external _glActiveTexture
00007ffa184a24f6 (__TEXT,__text) external _glActiveTextureARB
00007ffa1849adb0 (__TEXT,__text) external _glAlphaFunc
00007ffa1849adc9 (__TEXT,__text) external _glAreTexturesResident
00007ffa1849ade8 (__TEXT,__text) external _glArrayElement
00007ffa184a3049 (__TEXT,__text) external _glAttachObjectARB
00007ffa1849efda (__TEXT,__text) external _glAttachShader
00007ffa1849ae01 (__TEXT,__text) external _glBegin
00007ffa1849fbc3 (__TEXT,__text) external _glBeginConditionalRender
00007ffa184a4dfe (__TEXT,__text) external _glBeginConditionalRenderNV
00007ffa1849e7a7 (__TEXT,__text) external _glBeginQuery
00007ffa184a2d72 (__TEXT,__text) external _glBeginQueryARB
00007ffa184a0eb6 (__TEXT,__text) external _glBeginQueryIndexed
00007ffa1849fad5 (__TEXT,__text) external _glBeginTransformFeedback
00007ffa184a4039 (__TEXT,__text) external _glBeginTransformFeedbackEXT
00007ffa1849f4a3 (__TEXT,__text) external _glBindAttribLocation
00007ffa184a3485 (__TEXT,__text) external _glBindAttribLocationARB
00007ffa1849e847 (__TEXT,__text) external _glBindBuffer
00007ffa184a2e12 (__TEXT,__text) external _glBindBufferARB
00007ffa1849fb2f (__TEXT,__text) external _glBindBufferBase
00007ffa184a4018 (__TEXT,__text) external _glBindBufferBaseEXT
00007ffa184a3ff4 (__TEXT,__text) external _glBindBufferOffsetEXT
00007ffa1849fb08 (__TEXT,__text) external _glBindBufferRange
00007ffa184a3fcd (__TEXT,__text) external _glBindBufferRangeEXT
00007ffa1849ff0d (__TEXT,__text) external _glBindFragDataLocation
00007ffa184a4589 (__TEXT,__text) external _glBindFragDataLocationEXT
00007ffa184a0610 (__TEXT,__text) external _glBindFragDataLocationIndexed
00007ffa1849f753 (__TEXT,__text) external _glBindFramebuffer
00007ffa184a3d63 (__TEXT,__text) external _glBindFramebufferEXT
00007ffa184a1ba4 (__TEXT,__text) external _glBindProgramARB
00007ffa184a1121 (__TEXT,__text) external _glBindProgramPipeline
00007ffa1849f695 (__TEXT,__text) external _glBindRenderbuffer
00007ffa184a3ca5 (__TEXT,__text) external _glBindRenderbufferEXT
00007ffa184a06ad (__TEXT,__text) external _glBindSampler
00007ffa1849ae1a (__TEXT,__text) external _glBindTexture
